animal_name hair feathers eggs milk airborne aquatic predator toothed backbone breathes venomous fins legs tail domestic
opossum 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
oryx 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
ostrich 0 1 1 0 0 0 0 0 1 1 0 0 2 1 0
parakeet 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1
penguin 0 1 1 0 0 1 1 0 1 1 0 0 2 1 0
pheasant 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0
pike 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
piranha 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
pitviper 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0
platypus 1 0 1 1 0 1 1 0 1 1 0 0 4 1 0
polecat 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
pony 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1
porpoise 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0
puma 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
pussycat 1 0 0 1 0 0 1 1 1 1 0 0 4 1 1
raccoon 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
reindeer 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1
rhea 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0
scorpion 0 0 0 0 0 0 1 0 0 1 1 0 8 1 0
seahorse 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0
seal 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0
sealion 1 0 0 1 0 1 1 1 1 1 0 1 2 1 0
seasnake 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0
seawasp 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0
skimmer 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0
skua 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0
slowworm 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0
slug 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
sole 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0
sparrow 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0
squirrel 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0
starfish 0 0 1 0 0 1 1 0 0 0 0 0 5 0 0
stingray 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0
swan 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0
termite 0 0 1 0 0 0 0 0 0 1 0 0 6 0 0
toad 0 0 1 0 0 1 0 1 1 1 0 0 4 0 0
tortoise 0 0 1 0 0 0 0 0 1 1 0 0 4 1 0
tuatara 0 0 1 0 0 0 1 1 1 1 0 0 4 1 0
tuna 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
vampire_bat 1 0 0 1 1 0 0 1 1 1 0 0 2 1 0
vole 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
vulture 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0
wallaby 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0
wasp 1 0 1 0 1 0 0 0 0 1 1 0 6 0 0
wolf 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
worm 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
wren 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0
